网站名,类别,商家名称,地址,人均消费,缩略图,评分
美团,美食,热火朝天麻辣小嫩牛（南强街店）,五华区南强街6号院,55,http://p0.meituan.net/600.600/bbia/526ea0f0ac7e9aaf8c2cdc96a18d0b527652749.jpg@0_0_3388_2541a,3.5
美团,美食,冠生园（南强店）,"五华区南强街巷16-3,16-4号",22,http://p0.meituan.net/600.600/mogu/92b5c72ebcb0a07421c1ad346559d60574144.jpg,5
美团,美食,Regiustea天御皇茶（百盛柏联店）,五华区南屏街柏联广场百盛商场负一楼扶梯口旁,15,http://p1.meituan.net/600.600/mogu/648a5a6f46518f84108a80f0a594fd2298078.jpg,5
美团,美食,美兮纽西兰餐厅,五华区南强街巷后巷端仁巷2号侨民小学旁,90,https://img.meituan.net/600.600/msmerchant/ab274cdf4c16ab46a61fb3557fdaff6b2313539.jpg,4.8
美团,美食,德克士（昆百大店）,五华区东风西路1号昆百大商场负一层,32,https://img.meituan.net/600.600/msmerchant/d19a185b7bd83f53094d2ffe66430d5420972.jpg,5
美团,美食,面包工坊（宝善店）,五华区宝善街212号宝善1号1F（赖客旁）,31,http://p1.meituan.net/600.600/mogu/4215715e695a4812476ce834f0193c778697.jpg,4.9
美团,美食,普蔻酒廊 Le Procope Lounge,五华区鼎新街基督教青年会（近宝善街）,93,https://p0.meituan.net/600.600/merchantpic/5e8563248b561ed1ade8a4e290ad9fd61951736.jpg,4.4
美团,美食,傣雀缘傣味民族餐厅（昆百大店）,五华区南屏街西口新纪元大酒店负一层,64,http://p0.meituan.net/600.600/mogu/de73da4432dd675de3e20e87b066563b218633.jpg,4.8
美团,美食,年轮菜馆（金碧店）,五华区三市街89号金碧辉煌购物中心3楼（近金碧广场）,49,http://p0.meituan.net/600.600/mogu/2434588c593fd69a4ad08f1fca344597168505.jpg,4.9
美团,美食,永昌火炉铜瓢牛肉（宝善店）,五华区宝善街秦妈火锅楼上,58,http://p0.meituan.net/600.600/bbia/04fa48a65330d5872f18f99f5f2b09663520504.jpg@237_178_3558_2668a,4.5
美团,美食,峰膳（百大新天地店）,五华区东风西路2号百大新天地B2层,38,http://p1.meituan.net/600.600/mogu/92abdbd36716d41eb9796d5b801cdb2746553.jpeg,5
美团,美食,卡乐巴巴饮品（三市街店）,五华区三市街35号（中国农业银行，三市街支行旁）,18,https://img.meituan.net/600.600/msmerchant/849e60dcc6a22153fe9f73139ede68961259684.jpg,5
美团,美食,老东粥皇（昆百大店）,五华区东风西路昆明百货大楼负1楼,43,http://p1.meituan.net/600.600/mogu/b9cb7d80fcff480dce2df20c1631ebf454000.jpg,4.3
美团,美食,中国娃,五华区鼎新街宝善街57号,19,https://img.meituan.net/600.600/msmerchant/e3651a6a727929012f1413ae9c27842853730.jpg,5
美团,美食,奇峰园,五华区宝善街祥云商城二楼A3（云南省昆明市五华区宝善街祥云商城二楼A3）,29,https://img.meituan.net/600.600/msmerchant/e3e34d10f310cf5274c8c14b3193ec57426223.jpg,3
美团,美食,幸福里米线,五华区鼎新街宝善街57号,14,https://img.meituan.net/600.600/msmerchant/a8459b7e9c06ad6e41e6bba4cbb3decd266467.jpg,4.7
美团,美食,飞鱼炭火烤鱼(百大新天地店),五华区东风西路2号百大新天地6A层,64,http://p0.meituan.net/600.600/deal/88ce63a7b11db0e12d68c9d3ded63a0e260253.jpg,4.5
美团,美食,重庆秦妈火锅（宝善街店）,五华区宝善街192号（近岁月如歌）,66,http://p0.meituan.net/600.600/bbia/3c1d5b71d5919aa7b4085d03f514de72429050.jpg@21_4_1402_1051a,4.6
美团,美食,老滇山寨（金碧店）,五华区三市街金碧辉煌B座三楼,48,https://img.meituan.net/600.600/msmerchant/58daf8360df8d3804be6cc104a53ab197622601.jpg,4.5
美团,美食,袍哥纸上烤鱼（护国路店）,五华区护国路47号（漫咖啡对面）,40,http://p0.meituan.net/600.600/mogu/e9d01f0a81fdd0ad3ea92471cf0374d0110127.jpg,4.8
美团,美食,一夫茶（南强店）,五华区南强街94附5号（沪上弄堂西行20米路北）,15,http://p1.meituan.net/600.600/mogu/06026accebd9cd4524031b117ed0264610716.jpg,5
美团,美食,本味之源云南过桥米线,五华区南强步行街履善巷侨民小学旁,30,https://img.meituan.net/600.600/msmerchant/2b388121bf58baf78177e802fc254a4c824452.jpg,4.6
美团,美食,辣得爽煳辣鱼|云南特色鱼火锅(百大新天地店),五华区东风西路2号百大新天地B2层,67,http://p1.meituan.net/600.600/deal/975e67c1857caae64aeee7407849032624367.jpg,4
美团,美食,紫悦轩(柏联广场店),五华区三市街6号柏联广场6层,83,http://p1.meituan.net/600.600/deal/__37514322__2629560.jpg,4.1
美团,美食,JUST HOT佳禾面包（宝善街店）,五华区宝善街202号昆明银三角文化楼B座B-101（宝善大酒店斜对面）,20,http://p0.meituan.net/600.600/apiback/e83d140a4fe9ced9e8cba8c30d99be0f159033.jpg,4.4
美团,美食,德宏私房火烧干巴（三市街店）,五华区南强街祥云美食城南门口外右侧,40,http://p0.meituan.net/600.600/deal/72f5bdb57ff3e0d2cc2aeed722113c2c103065.jpg,3.5
美团,美食,卡芙珞,五华区宝善街189号,15,http://p1.meituan.net/600.600/wmproduct/1cb7610acec875d29f84d4d5f75923b294352.jpg,4
美团,美食,蓝鳍日本料理,五华区正义路正义坊南馆3楼,91,http://p0.meituan.net/600.600/mogu/8beb983fac5908fd03f3fd56edfd6ba1152297.jpg,3.5
美团,美食,马马卡拉茶,五华区南强街94号附3号,19,http://p1.meituan.net/600.600/mogu/618307ff0dd8a61adb85969eb534a8ef44204.png,3.5
美团,美食,上井精致料理（柏联店）,五华区三市街6号柏联广场6层,260,http://p0.meituan.net/600.600/merchantpic/2a4dde14cb1a4044ed23a3a64d95e38b21148.jpg,4.2
美团,美食,新纪元大酒店,五华区东风西路1号新纪元大酒店28楼餐饮部,116,http://p0.meituan.net/600.600/deal/__6858226__1194347.jpg,4.4
美团,美食,闺蜜心语蛋糕定制,五华区南强街柏联广场,0,http://p0.meituan.net/600.600/mogu/b8052178d1578b750778659141dbc4ee96003.jpg,4.5
美团,美食,外婆味道（祥云店）,五华区宝善街祥云美食城东门3楼（宝善街57号）,44,http://p1.meituan.net/600.600/mogu/1a9e336a3bbb4b579d4abc88c72ac8d447646.jpg,4.1
美团,美食,蘑菇寿司（百大新纪元店）,五华区三市街柏联广场负一楼（百盛超市入口旁）,38,https://img.meituan.net/600.600/msmerchant/181b2c69db8e7db6bd0e689f0e96d40c427388.jpg,5
美团,美食,洪沙瓦迪东南亚风情餐厅,五华区护国街道南强步行街与鼎新街交叉口祥云美食城南门对面,73,https://img.meituan.net/600.600/msmerchant/45b0d3c4bc7736b9f2221bf9b0ab9b3549519.jpg,4.3
美团,美食,云南少数民族版纳风味小吃,五华区祥云街祥云美食城1楼,35,http://p0.meituan.net/600.600/deal/91115798525b2a6286518a18904b9865121338.jpg,3
